BSI__PFLU_U_BE1__K141_66774_2-MONOMER	BSI__PFLU_U_BE1__K141_66774_2		NIL	
BSI__PFLU_U_BE1__K141_66774_3-MONOMER	BSI__PFLU_U_BE1__K141_66774_3		NIL	
BSI__PFLU_U_BE1__K141_66774_4-MONOMER	BSI__PFLU_U_BE1__K141_66774_4		NIL	
BSI__PFLU_U_BE1__K141_66774_5-MONOMER	BSI__PFLU_U_BE1__K141_66774_5		NIL	
BSI__PFLU_U_BE1__K141_66774_6-MONOMER	BSI__PFLU_U_BE1__K141_66774_6		NIL	
BSI__PFLU_U_BE1__K141_160042_1-MONOMER	BSI__PFLU_U_BE1__K141_160042_1		NIL	
BSI__PFLU_U_BE1__K141_66774_7-MONOMER	BSI__PFLU_U_BE1__K141_66774_7		NIL	
BSI__PFLU_U_BE1__K141_160042_2-MONOMER	BSI__PFLU_U_BE1__K141_160042_2		NIL	
BSI__PFLU_U_BE1__K141_66774_8-MONOMER	BSI__PFLU_U_BE1__K141_66774_8		NIL	
BSI__PFLU_U_BE1__K141_160042_3-MONOMER	BSI__PFLU_U_BE1__K141_160042_3		NIL	
BSI__PFLU_U_BE1__K141_160042_4-MONOMER	BSI__PFLU_U_BE1__K141_160042_4		NIL	
BSI__PFLU_U_BE1__K141_160042_5-MONOMER	BSI__PFLU_U_BE1__K141_160042_5		NIL	
BSI__PFLU_U_BE1__K141_159296_1-MONOMER	BSI__PFLU_U_BE1__K141_159296_1		NIL	
BSI__PFLU_U_BE1__K141_66741_1-MONOMER	BSI__PFLU_U_BE1__K141_66741_1		NIL	
BSI__PFLU_U_BE1__K141_159296_2-MONOMER	BSI__PFLU_U_BE1__K141_159296_2		NIL	
BSI__PFLU_U_BE1__K141_66741_2-MONOMER	BSI__PFLU_U_BE1__K141_66741_2		NIL	
BSI__PFLU_U_BE1__K141_159296_3-MONOMER	BSI__PFLU_U_BE1__K141_159296_3		NIL	
BSI__PFLU_U_BE1__K141_66741_3-MONOMER	BSI__PFLU_U_BE1__K141_66741_3		NIL	
BSI__PFLU_U_BE1__K141_159296_4-MONOMER	BSI__PFLU_U_BE1__K141_159296_4		NIL	
BSI__PFLU_U_BE1__K141_159296_5-MONOMER	BSI__PFLU_U_BE1__K141_159296_5		NIL	
BSI__PFLU_U_BE1__K141_159296_6-MONOMER	BSI__PFLU_U_BE1__K141_159296_6		NIL	
BSI__PFLU_U_BE1__K141_159296_7-MONOMER	BSI__PFLU_U_BE1__K141_159296_7		NIL	
BSI__PFLU_U_BE1__K141_159296_8-MONOMER	BSI__PFLU_U_BE1__K141_159296_8		NIL	
BSI__PFLU_U_BE1__K141_159296_9-MONOMER	BSI__PFLU_U_BE1__K141_159296_9		NIL	
BSI__PFLU_U_BE1__K141_66348_1-MONOMER	BSI__PFLU_U_BE1__K141_66348_1		NIL	
BSI__PFLU_U_BE1__K141_66348_2-MONOMER	BSI__PFLU_U_BE1__K141_66348_2		NIL	
BSI__PFLU_U_BE1__K141_66348_3-MONOMER	BSI__PFLU_U_BE1__K141_66348_3		NIL	
BSI__PFLU_U_BE1__K141_66348_4-MONOMER	BSI__PFLU_U_BE1__K141_66348_4		NIL	
BSI__PFLU_U_BE1__K141_66348_5-MONOMER	BSI__PFLU_U_BE1__K141_66348_5		NIL	
BSI__PFLU_U_BE1__K141_66348_6-MONOMER	BSI__PFLU_U_BE1__K141_66348_6		NIL	
BSI__PFLU_U_BE1__K141_66348_7-MONOMER	BSI__PFLU_U_BE1__K141_66348_7		NIL	
BSI__PFLU_U_BE1__K141_66348_8-MONOMER	BSI__PFLU_U_BE1__K141_66348_8		NIL	
BSI__PFLU_U_BE1__K141_66348_9-MONOMER	BSI__PFLU_U_BE1__K141_66348_9		NIL	
BSI__PFLU_U_BE1__K141_66348_10-MONOMER	BSI__PFLU_U_BE1__K141_66348_10		NIL	
BSI__PFLU_U_BE1__K141_159284_1-MONOMER	BSI__PFLU_U_BE1__K141_159284_1		NIL	
BSI__PFLU_U_BE1__K141_159284_2-MONOMER	BSI__PFLU_U_BE1__K141_159284_2		NIL	
