Compound	Cluster	Classes	Common names	MetaCyc link
DEOXYINOSINE	1	Compounds, Organic-heterocyclic-compound, Nucleosides, Organic-heteromonocyclic-compounds, Compounds-And-Elements, Purine-Nucleosides, Nitrogen-Molecular-Entities, Organonitrogen-Compounds, Purine-Deoxyribonucleosides, FRAMES, Purines, All-Nucleosides, Organonitrogen-Heterocyclic-Compounds, Organic-heterobicyclic-compounds, Deoxy-Ribonucleosides, Chemicals, Organic-Heteropolycyclic-Compounds	2'-deoxyinosine	https://metacyc.org/compound?orgid=META&id=DEOXYINOSINE
CPD-20826	1	Compounds, Organic-heterocyclic-compound, Organic-heteromonocyclic-compounds, Compounds-And-Elements, Nucleoside-Monophosphates, Ribonucleoside-Monophosphates, Nitrogen-Molecular-Entities, Organonitrogen-Compounds, FRAMES, Purine-ribonucleotides, Purines, All-Nucleosides, Organonitrogen-Heterocyclic-Compounds, Purine-Nucleotides, Ribonucleotides, Organic-heterobicyclic-compounds, Nucleotides, Chemicals, Purine-ribonucleosides-5-P, Organic-Heteropolycyclic-Compounds	adenine ribotide phosphate	https://metacyc.org/compound?orgid=META&id=CPD-20826
3-hydroxy-cis-D9-hexaecenoyl-ACPs	1	Proteins, FRAMES, Macromolecules, Modified-Proteins, ACYL-ACP, OH-ACYL-ACP, Polypeptides, Chemicals, All-ACPs, Monounsaturated-acyl-ACPs	a (3R,9Z)-3-hydroxyhexadec-9-enoyl-[acp]	https://metacyc.org/compound?orgid=META&id=3-hydroxy-cis-D9-hexaecenoyl-ACPs
CPD-16020	1	Compounds, FRAMES, All-Nucleosides, modified-deoxyribonucleoside, Nucleosides, Compounds-And-Elements, Deoxy-Ribonucleosides, Chemicals	2-oxo-2'-deoxyadenosine	https://metacyc.org/compound?orgid=META&id=CPD-16020
ADP-L-GLYCERO-D-MANNO-HEPTOSE	1	Carbohydrate-Derivatives, Compounds, Carbohydrates, NDP-sugars, FRAMES, All-Nucleosides, NUCLEOTIDE-SUGARS, All-Carbohydrates, ADP-SUGARS, Compounds-And-Elements, Modified-Nucleotides, Nucleotides, Chemicals, Glycans	ADP-L-glycero-&beta;-D-manno-heptose	https://metacyc.org/compound?orgid=META&id=ADP-L-GLYCERO-D-MANNO-HEPTOSE
D-ALPHABETA-D-HEPTOSE-7-PHOSPHATE	1	Carbohydrate-Derivatives, Compounds, Carbohydrates, FRAMES, All-Carbohydrates, Compounds-And-Elements, Sugar-Phosphate, Chemicals, Glycans	D-glycero-D-manno-heptose 7-phosphate	https://metacyc.org/compound?orgid=META&id=D-ALPHABETA-D-HEPTOSE-7-PHOSPHATE
CHLOROACETIC-ACID	1	Compounds, Haloacetates, Chlorides, FRAMES, Organohalogen-Compounds, Compounds-And-Elements, Chemicals	2-chloroacetate	https://metacyc.org/compound?orgid=META&id=CHLOROACETIC-ACID
S-2-INDOL-3-YLACETYL-COA	1	Compounds, Thioesters, FRAMES, ACYL-COA, Compounds-And-Elements, Esters, Chemicals, All-Coas	(indol-3 yl)acetyl-CoA	https://metacyc.org/compound?orgid=META&id=S-2-INDOL-3-YLACETYL-COA
2E-7Z-hexadeca-2-7-dienoyl-ACPs	1	Proteins, a-polyunsaturated-acyl-acp, FRAMES, Macromolecules, Modified-Proteins, ACYL-ACP, Polypeptides, Chemicals, All-ACPs	a (2E,7Z)-hexadeca-2,7-dienoyl-[acp]	https://metacyc.org/compound?orgid=META&id=2E-7Z-hexadeca-2-7-dienoyl-ACPs
CPD-824	1	Compounds, FRAMES, All-Carboxy-Acids, Carboxylates, Acids, Compounds-And-Elements, Organic-Acids, Chemicals, 2-Oxo-carboxylates, 2-Oxo-Acids	5-guanidino-2-oxopentanoate	https://metacyc.org/compound?orgid=META&id=CPD-824
CPD-12739	1	Compounds, All-Carboxy-Acids, All-Amino-Acids, D-Amino-Acids, CPD0-2079, Compounds-And-Elements, DL-3-HYDROXYASPARTATE, Acids, Organic-Acids, Hydroxy-D-Amino-Acids, FRAMES, Modified-Amino-Acids, Carboxylates, Hydroxy-Amino-Acids, Chemicals, Amino-Acids	(3S)-3-hydroxy-D-aspartate	https://metacyc.org/compound?orgid=META&id=CPD-12739
NIACINE	1	B-vitamins, Compounds, Compounds-And-Elements, FRAMES, Chemicals, Vitamins	nicotinate	https://metacyc.org/compound?orgid=META&id=NIACINE
CPD-9408	1	Compounds, Compounds-And-Elements, Thioesters, Esters, FRAMES, Chemicals, All-Coas	2-methylfumaryl-CoA	https://metacyc.org/compound?orgid=META&id=CPD-9408
ALPHA-RIBAZOLE-5-P	1	FRAMES, Compounds, Chemicals, Compounds-And-Elements	&alpha;-ribazole 5'-phosphate	https://metacyc.org/compound?orgid=META&id=ALPHA-RIBAZOLE-5-P
CPD-24961	1	D-Pentoses, Compounds, D-XYLULOSE, Carbohydrates, All-Carbohydrates, Sugar, D-Xylulofuranose, Compounds-And-Elements, Xylulose, D-Ketopentoses, Ketoses, FRAMES, Ketopentoses, Chemicals, Monosaccharides, Pentoses, Glycans	&alpha;-D-xylulofuranose	https://metacyc.org/compound?orgid=META&id=CPD-24961
7Z-hexadec-7-enoyl-ACPs	1	Proteins, FRAMES, Macromolecules, Modified-Proteins, ACYL-ACP, Polypeptides, Chemicals, All-ACPs, Monounsaturated-acyl-ACPs	a (7Z)-hexadec-7-enoyl-[acp]	https://metacyc.org/compound?orgid=META&id=7Z-hexadec-7-enoyl-ACPs
CPD-196	1	Compounds, Saturated-Fatty-Acyl-CoA, Thioesters, Medium-Chain-Acyl-CoAs, FRAMES, ACYL-COA, Medium-Chain-234-Saturated-acyl-CoAs, Compounds-And-Elements, Esters, Chemicals, All-Coas, Fatty-Acyl-CoAs	octanoyl-CoA	https://metacyc.org/compound?orgid=META&id=CPD-196
Cis-Delta7-tetradecenoyl-ACPs	1	Proteins, FRAMES, Macromolecules, Modified-Proteins, ACYL-ACP, Polypeptides, Chemicals, All-ACPs, Monounsaturated-acyl-ACPs	a (7Z)-tetradec-7-enoyl-[acp]	https://metacyc.org/compound?orgid=META&id=Cis-Delta7-tetradecenoyl-ACPs
CPD-1136	1	Compounds, FRAMES, All-Carboxy-Acids, Carboxylates, Tricarboxylates, Acids, Compounds-And-Elements, Organic-Acids, Chemicals	cis-2-methylaconitate	https://metacyc.org/compound?orgid=META&id=CPD-1136
CPD-1133	1	Compounds, Cyclitols, FRAMES, Cyclic-Alcohols, Compounds-And-Elements, Inositols, Chemicals, Alcohols, Modified-Inositols	3D-(3,5/4)-trihydroxycyclohexane-1,2-dione	https://metacyc.org/compound?orgid=META&id=CPD-1133
CATECHOL	1	Compounds, Catechols, FRAMES, Diols, Aromatics, Compounds-And-Elements, Chemicals, Benzenediols, Alcohols	catechol	https://metacyc.org/compound?orgid=META&id=CATECHOL
FMNH2	1	Compounds, Organic-heterocyclic-compound, Organic-heteromonocyclic-compounds, Compounds-And-Elements, Acceptors, FLAVIN, Nitrogen-Molecular-Entities, Organonitrogen-Compounds, Reduced-Flavins, FRAMES, Organonitrogen-Heterocyclic-Compounds, Redox-Electron-Carriers, Benzopteridines, Organic-heterobicyclic-compounds, Chemicals, Flavin-Electorin-Carriers, Pteridines, Organic-Heteropolycyclic-Compounds	FMNH2	https://metacyc.org/compound?orgid=META&id=FMNH2
D-BETA-D-HEPTOSE-1-P	1	FRAMES, Compounds, Chemicals, Compounds-And-Elements	D-glycero-&beta;-D-manno-heptose 1-phosphate	https://metacyc.org/compound?orgid=META&id=D-BETA-D-HEPTOSE-1-P
CPD-17461	1	Compounds, FRAMES, All-Carboxy-Acids, dicarboxylate, Alpha-omega-dicarboxylates, Carboxylates, Acids, Compounds-And-Elements, Organic-Acids, Chemicals	L-talarate	https://metacyc.org/compound?orgid=META&id=CPD-17461
BUTANEDIOL	1	Compounds, FRAMES, glycols, Diols, Compounds-And-Elements, Chemicals, 2-3-Butanediols, Alcohols	(R,R)-2,3-butanediol	https://metacyc.org/compound?orgid=META&id=BUTANEDIOL
7Z-3-oxo-hexadec-7-enoyl-ACPs	1	Proteins, FRAMES, Macromolecules, Modified-Proteins, ACYL-ACP, Polypeptides, Chemicals, All-ACPs, Monounsaturated-acyl-ACPs	a (7Z)-3-oxo-hexadec-7-enoyl-[acp]	https://metacyc.org/compound?orgid=META&id=7Z-3-oxo-hexadec-7-enoyl-ACPs
5Z-tetradec-5-enoyl-ACPs	1	Proteins, FRAMES, Macromolecules, Modified-Proteins, ACYL-ACP, Polypeptides, Chemicals, All-ACPs, Monounsaturated-acyl-ACPs	a (5Z)-tetradec-5-enoyl-[acp]	https://metacyc.org/compound?orgid=META&id=5Z-tetradec-5-enoyl-ACPs
CPD-110	1	Compounds, FRAMES, All-Carboxy-Acids, Aromatic-Acid, Aromatics, Carboxylates, Compounds-And-Elements, Acids, Organic-Acids, Chemicals, Phenols	salicylate	https://metacyc.org/compound?orgid=META&id=CPD-110
3Z-dodec-3-enoyl-ACPs	1	Proteins, FRAMES, CIS-ENOYL-ACP, Macromolecules, Monounsaturated-acyl-ACPs, Modified-Proteins, ACYL-ACP, Polypeptides, Chemicals, All-ACPs	a (3Z)-dodec-3-enoyl-[acp]	https://metacyc.org/compound?orgid=META&id=3Z-dodec-3-enoyl-ACPs
CPD-277	1	FRAMES, Compounds, Chemicals, Compounds-And-Elements	3-fumarylpyruvate	https://metacyc.org/compound?orgid=META&id=CPD-277
CPD-827	1	Ketoaldonates, Compounds, Carbohydrates, FRAMES, All-Carboxy-Acids, Carboxylates, All-Carbohydrates, Acids, Compounds-And-Elements, Organic-Acids, Chemicals, Carbohydrate-acids, Glycans	5-dehydro-2-deoxy-D-gluconate	https://metacyc.org/compound?orgid=META&id=CPD-827
