BSI__PFLU_U_BE1__K141_101439_365-MONOMER	BSI__PFLU_U_BE1__K141_101439_365		NIL	
BSI__PFLU_U_BE1__K141_101439_366-MONOMER	BSI__PFLU_U_BE1__K141_101439_366		NIL	
BSI__PFLU_U_BE1__K141_101439_367-MONOMER	BSI__PFLU_U_BE1__K141_101439_367		NIL	
BSI__PFLU_U_BE1__K141_101439_368-MONOMER	BSI__PFLU_U_BE1__K141_101439_368		NIL	
BSI__PFLU_U_BE1__K141_101439_369-MONOMER	BSI__PFLU_U_BE1__K141_101439_369		NIL	
BSI__PFLU_U_BE1__K141_101439_370-MONOMER	BSI__PFLU_U_BE1__K141_101439_370		NIL	
BSI__PFLU_U_BE1__K141_101439_371-MONOMER	BSI__PFLU_U_BE1__K141_101439_371		NIL	
BSI__PFLU_U_BE1__K141_101439_372-MONOMER	BSI__PFLU_U_BE1__K141_101439_372		NIL	
BSI__PFLU_U_BE1__K141_101439_373-MONOMER	BSI__PFLU_U_BE1__K141_101439_373		NIL	
BSI__PFLU_U_BE1__K141_101439_374-MONOMER	BSI__PFLU_U_BE1__K141_101439_374		NIL	
BSI__PFLU_U_BE1__K141_101439_375-MONOMER	BSI__PFLU_U_BE1__K141_101439_375		NIL	
BSI__PFLU_U_BE1__K141_101439_376-MONOMER	BSI__PFLU_U_BE1__K141_101439_376		NIL	
BSI__PFLU_U_BE1__K141_101439_377-MONOMER	BSI__PFLU_U_BE1__K141_101439_377		NIL	
BSI__PFLU_U_BE1__K141_101439_378-MONOMER	BSI__PFLU_U_BE1__K141_101439_378		NIL	
BSI__PFLU_U_BE1__K141_101439_379-MONOMER	BSI__PFLU_U_BE1__K141_101439_379		NIL	
BSI__PFLU_U_BE1__K141_101439_380-MONOMER	BSI__PFLU_U_BE1__K141_101439_380		NIL	
BSI__PFLU_U_BE1__K141_101439_381-MONOMER	BSI__PFLU_U_BE1__K141_101439_381		NIL	
BSI__PFLU_U_BE1__K141_101439_382-MONOMER	BSI__PFLU_U_BE1__K141_101439_382		NIL	
BSI__PFLU_U_BE1__K141_101439_383-MONOMER	BSI__PFLU_U_BE1__K141_101439_383		NIL	
BSI__PFLU_U_BE1__K141_101439_384-MONOMER	BSI__PFLU_U_BE1__K141_101439_384		NIL	
BSI__PFLU_U_BE1__K141_101439_385-MONOMER	BSI__PFLU_U_BE1__K141_101439_385		NIL	
BSI__PFLU_U_BE1__K141_101439_386-MONOMER	BSI__PFLU_U_BE1__K141_101439_386		NIL	
BSI__PFLU_U_BE1__K141_101439_387-MONOMER	BSI__PFLU_U_BE1__K141_101439_387		NIL	
BSI__PFLU_U_BE1__K141_101439_388-MONOMER	BSI__PFLU_U_BE1__K141_101439_388		NIL	
BSI__PFLU_U_BE1__K141_101439_389-MONOMER	BSI__PFLU_U_BE1__K141_101439_389		NIL	
BSI__PFLU_U_BE1__K141_101439_390-MONOMER	BSI__PFLU_U_BE1__K141_101439_390		NIL	
BSI__PFLU_U_BE1__K141_101439_391-MONOMER	BSI__PFLU_U_BE1__K141_101439_391		NIL	
BSI__PFLU_U_BE1__K141_101439_392-MONOMER	BSI__PFLU_U_BE1__K141_101439_392		NIL	
