#
#  candidatus_phaeomarinobacter_ectocarpicyc 1.0 Genes link table generated on Sun Jun 25, 2023
#  All columns are separated by tab characters.
#  Columns are: 
#
#  GENE-ID  EG#  b#  y-name  CGSC-ID  UniProt-ID  GENE-NAME  
#
#   GENE-ID      = Pathway Tools unique identifier for the gene
#   UniProt-ID = Swiss-Prot identifier
#   GENE-NAME    = Pathway Tools gene name
#
#
BSI__PFLU_U_BE1__K141_62218_958			
BSI__PFLU_U_BE1__K141_62218_959			
BSI__PFLU_U_BE1__K141_62218_960			
BSI__PFLU_U_BE1__K141_62218_961		MA20_07390	
BSI__PFLU_U_BE1__K141_62218_962			
BSI__PFLU_U_BE1__K141_62218_963			
BSI__PFLU_U_BE1__K141_62218_964			
BSI__PFLU_U_BE1__K141_62218_965			
BSI__PFLU_U_BE1__K141_62218_966			
BSI__PFLU_U_BE1__K141_62218_967			
BSI__PFLU_U_BE1__K141_62218_968			
BSI__PFLU_U_BE1__K141_62218_969			
BSI__PFLU_U_BE1__K141_62218_970			
BSI__PFLU_U_BE1__K141_62218_971			
BSI__PFLU_U_BE1__K141_62218_972			
BSI__PFLU_U_BE1__K141_62218_973			
BSI__PFLU_U_BE1__K141_62218_974		aroC	
BSI__PFLU_U_BE1__K141_62218_975			
BSI__PFLU_U_BE1__K141_62218_976			
BSI__PFLU_U_BE1__K141_62218_977			
BSI__PFLU_U_BE1__K141_62218_978			
BSI__PFLU_U_BE1__K141_62218_979			
BSI__PFLU_U_BE1__K141_62218_980			
BSI__PFLU_U_BE1__K141_62218_981			
BSI__PFLU_U_BE1__K141_62218_982			
BSI__PFLU_U_BE1__K141_62218_983			
BSI__PFLU_U_BE1__K141_62218_984			
BSI__PFLU_U_BE1__K141_62218_985			
BSI__PFLU_U_BE1__K141_62218_986		sua5	
BSI__PFLU_U_BE1__K141_62218_987		MA20_42035	
BSI__PFLU_U_BE1__K141_62218_988			
BSI__PFLU_U_BE1__K141_62218_989			
BSI__PFLU_U_BE1__K141_62218_990			
BSI__PFLU_U_BE1__K141_62218_991			
BSI__PFLU_U_BE1__K141_62218_992		MA20_42065	
BSI__PFLU_U_BE1__K141_62218_993			
BSI__PFLU_U_BE1__K141_62218_994		MA20_16385	
BSI__PFLU_U_BE1__K141_62218_995			
BSI__PFLU_U_BE1__K141_62218_996			
BSI__PFLU_U_BE1__K141_62218_997			
BSI__PFLU_U_BE1__K141_62218_998		MA20_42075	
