Compound	Cluster	Classes	Common names	MetaCyc link
CPD-9016	1	Aromatics, Chemicals, FRAMES, Compounds, Compounds-And-Elements	6,8-dihydroxypurine	https://metacyc.org/compound?orgid=META&id=CPD-9016
4-OXALOMESACONATE	1	Chemicals, 2-Oxo-Acids, FRAMES, Tricarboxylates, Organic-Acids, Acids, Carboxylates, All-Carboxy-Acids, Compounds, Compounds-And-Elements	(1E)-4-oxobut-1-ene-1,2,4-tricarboxylate	https://metacyc.org/compound?orgid=META&id=4-OXALOMESACONATE
CPD-8652	2	Aromatics, Chemicals, Indoles, ALKALOID, FRAMES, Indole-Derivatives, Secondary-Metabolites, Compounds, Compounds-And-Elements	leucodopachrome	https://metacyc.org/compound?orgid=META&id=CPD-8652
L-DOPACHROME	2	Indole-Derivatives, Aromatics, Chemicals, Indoles, FRAMES, Compounds, Compounds-And-Elements	L-dopachrome	https://metacyc.org/compound?orgid=META&id=L-DOPACHROME
CPD-20264	2	Cyclic-Ketones, Chemicals, FRAMES, Quinones, Aldehydes-Or-Ketones, Compounds, LONG-CHAIN-KETONE, Compounds-And-Elements	8-[(2S)-2-amino-2-carboxylatoethyl]-5-hydroxy-2H-1,4-benzothiazine-3-carboxylate	https://metacyc.org/compound?orgid=META&id=CPD-20264
DOPAQUINONE	2	Cyclic-Ketones, Chemicals, FRAMES, Quinones, Aldehydes-Or-Ketones, Compounds, LONG-CHAIN-KETONE, Compounds-And-Elements	dopaquinone	https://metacyc.org/compound?orgid=META&id=DOPAQUINONE
CPD-20262	2	Cyclic-Ketones, Chemicals, FRAMES, Quinones, Aldehydes-Or-Ketones, Compounds, LONG-CHAIN-KETONE, Compounds-And-Elements	5-S-cysteinyldopaquinone	https://metacyc.org/compound?orgid=META&id=CPD-20262
DIHYDROXYINDOLE	2	Indole-Derivatives, Aromatics, Chemicals, Indoles, FRAMES, Compounds, Compounds-And-Elements	5,6-dihydroxyindole	https://metacyc.org/compound?orgid=META&id=DIHYDROXYINDOLE
DOPAMINE	2	Diols, Aromatics, Chemicals, FRAMES, Catechols, Benzenediols, Alcohols, Compounds, Compounds-And-Elements	dopamine	https://metacyc.org/compound?orgid=META&id=DOPAMINE
NOREPINEPHRINE	2	Diols, Aromatics, Chemicals, FRAMES, Catechols, Benzenediols, Alcohols, Compounds, Compounds-And-Elements	(R)-noradrenaline	https://metacyc.org/compound?orgid=META&id=NOREPINEPHRINE
CPD-15154	2	Cyclic-Ketones, Chemicals, FRAMES, Quinones, Aldehydes-Or-Ketones, Compounds, LONG-CHAIN-KETONE, Compounds-And-Elements	5-S-cysteinyldopa	https://metacyc.org/compound?orgid=META&id=CPD-15154
CPD-253	2	FRAMES, Chemicals, Compounds, Compounds-And-Elements	4,5-seco-dopa	https://metacyc.org/compound?orgid=META&id=CPD-253
