Compound	Cluster	Classes	Common names	MetaCyc link
INDOLEYL-CPD	2	Compounds, FRAMES, Chemicals, Indole-Derivatives, Indoles, Aromatics, Compounds-And-Elements, Nitriles	(indol-3-yl)acetonitrile	https://metacyc.org/compound?orgid=META&id=INDOLEYL-CPD
RETINAL	2	Chemicals, Vitamin-A, Retinals, Aldehydes-Or-Ketones, Compounds-And-Elements, Vitamins, FRAMES, Lipids, Compounds, Terpenoids, Diterpenes, Secondary-Metabolites, Polyisoprenoids, Retinoids, Aldehydes	all-trans-retinal	https://metacyc.org/compound?orgid=META&id=RETINAL
UROCANATE	2	Compounds-And-Elements, Compounds, FRAMES, Chemicals	urocanate	https://metacyc.org/compound?orgid=META&id=UROCANATE
CPD-3633	2	Amino-Acids, All-Amino-Acids, Chemicals, All-Carboxy-Acids, Carboxylates, Organic-Acids, D-Amino-Acids, Compounds-And-Elements, FRAMES, Compounds, Acids, Uncharged-polar-amino-acids, Polar-amino-acids	D-asparagine	https://metacyc.org/compound?orgid=META&id=CPD-3633
GLUCONATE	2	All-Carboxy-Acids, Chemicals, Carboxylates, Organic-Acids, Aldonic-Acids, Compounds-And-Elements, FRAMES, Carbohydrate-acids, Compounds, All-Carbohydrates, Glycans, Acids, Carbohydrates, Monocarboxylates	D-gluconate	https://metacyc.org/compound?orgid=META&id=GLUCONATE
CPD-31	2	Compounds, CPD-14325, Chemicals, Compounds-And-Elements, FRAMES	(R)-citramalate	https://metacyc.org/compound?orgid=META&id=CPD-31
CPD-19715	2	Organonitrogen-Compounds, Compounds, Bilins, Nitrogen-Molecular-Entities, Polypyrroles, Chemicals, Organic-heterocyclic-compound, Organonitrogen-Heterocyclic-Compounds, Organic-heteromonocyclic-compounds, Compounds-And-Elements, FRAMES	mycobilin b	https://metacyc.org/compound?orgid=META&id=CPD-19715
CPD-21306	2	Compounds, Menaquinols, Membrane-Electron-Carriers, Chemicals, Modified-Menaquinols, Acceptors, Reduced-Quinones, Demethylmenaquinols, Redox-Electron-Carriers, Aromatics, Compounds-And-Elements, ETR-Quinols, FRAMES	demethylmenaquinol-4	https://metacyc.org/compound?orgid=META&id=CPD-21306
GLUTAMIDE	2	Compounds, Amino-Acids, Acids, All-Amino-Acids, Chemicals, All-Carboxy-Acids, Carboxylates, Organic-Acids, D-Amino-Acids, Compounds-And-Elements, FRAMES	D-glutamine	https://metacyc.org/compound?orgid=META&id=GLUTAMIDE
CPD-12119	2	Compounds, Menaquinols, Membrane-Electron-Carriers, Chemicals, Modified-Menaquinols, Acceptors, Reduced-Quinones, Demethylmenaquinols, Redox-Electron-Carriers, Aromatics, Compounds-And-Elements, ETR-Quinols, FRAMES	demethylmenaquinol-10	https://metacyc.org/compound?orgid=META&id=CPD-12119
CPD-12116	2	Compounds, Menaquinols, Membrane-Electron-Carriers, Chemicals, Modified-Menaquinols, Acceptors, Reduced-Quinones, Demethylmenaquinols, Redox-Electron-Carriers, Aromatics, Compounds-And-Elements, ETR-Quinols, FRAMES	demethylmenaquinol-6	https://metacyc.org/compound?orgid=META&id=CPD-12116
4-IMIDAZOLONE-5-PROPIONATE	2	Compounds-And-Elements, Compounds, FRAMES, Chemicals	4-imidazolone-5-propanoate	https://metacyc.org/compound?orgid=META&id=4-IMIDAZOLONE-5-PROPIONATE
2-AMINOMUCONATE_SEMIALDEHYDE	2	Compounds-And-Elements, Compounds, FRAMES, Chemicals	(2Z,4E)-2-amino-6-oxohexa-2,4-dienoate	https://metacyc.org/compound?orgid=META&id=2-AMINOMUCONATE_SEMIALDEHYDE
N-FORMIMINO-L-GLUTAMATE	2	Amino-Acids, All-Amino-Acids, Chemicals, All-Carboxy-Acids, Carboxylates, Organic-Acids, N-alpha-Acylated-L-Amino-Acids, N-Acylated-Amino-Acids, N-Substituted-Amino-Acids, Compounds-And-Elements, FRAMES, Compounds, Acids, Modified-Amino-Acids, N-Acylated-Aliphatic-Amino-Acids, N-ACYL-L-AMINO-ACID, L-Amino-Acids	N-formimino-L-glutamate	https://metacyc.org/compound?orgid=META&id=N-FORMIMINO-L-GLUTAMATE
FORMYL-ISOGLUTAMINE	2	Amino-Acids, All-Amino-Acids, Chemicals, All-Carboxy-Acids, Carboxylates, Organic-Acids, N-alpha-Acylated-L-Amino-Acids, N-Acylated-Amino-Acids, N-Substituted-Amino-Acids, Compounds-And-Elements, FRAMES, Compounds, Acids, Modified-Amino-Acids, N-ACYL-L-AMINO-ACID, L-Amino-Acids	formyl-L-isoglutamine	https://metacyc.org/compound?orgid=META&id=FORMYL-ISOGLUTAMINE
CHOCOLA_A	2	Compounds, Esters, All-trans-Retinyl-Esters, Chemicals, Terpenoids, Retinyl-Esters, Diterpenes, Secondary-Metabolites, Polyisoprenoids, Retinoids, Compounds-And-Elements, FRAMES, Lipids	all-trans-retinyl palmitate	https://metacyc.org/compound?orgid=META&id=CHOCOLA_A
FORMAMIDE	2	Compounds-And-Elements, Compounds, FRAMES, Chemicals	formamide	https://metacyc.org/compound?orgid=META&id=FORMAMIDE
CPD-12249	2	Compounds, OLIGOPEPTIDES, DIPEPTIDES, Dipeptides-Of-D-Amino-Acids, Peptides, Chemicals, Compounds-And-Elements, FRAMES	D-alanyl-D-serine	https://metacyc.org/compound?orgid=META&id=CPD-12249
CPD-12150	2	Compounds, Amino-Acids, Acids, All-Amino-Acids, Chemicals, All-Carboxy-Acids, Carboxylates, Organic-Acids, D-Amino-Acids, Compounds-And-Elements, FRAMES	D-leucine	https://metacyc.org/compound?orgid=META&id=CPD-12150
CPD-569	2	Aliphatic-N-Acetyl-Diamines, Compounds, Chemicals, Aliphatic-Diamines, Polyamines, All-Amines, Compounds-And-Elements, Aliphatic-Amines, FRAMES, Diamines	N-acetylputrescine	https://metacyc.org/compound?orgid=META&id=CPD-569
CPD-19716	2	Organonitrogen-Compounds, Compounds, Bilins, Nitrogen-Molecular-Entities, Polypyrroles, Chemicals, Organic-heterocyclic-compound, Organonitrogen-Heterocyclic-Compounds, Organic-heteromonocyclic-compounds, Compounds-And-Elements, FRAMES	mycobilin a	https://metacyc.org/compound?orgid=META&id=CPD-19716
CPD-18063	2	Compounds-And-Elements, Compounds, FRAMES, Chemicals	8-amino-3,8-dideoxy-&alpha;-D-manno-octulosonate	https://metacyc.org/compound?orgid=META&id=CPD-18063
CPD-302	2	Compounds, Amino-Acids, Acids, All-Amino-Acids, Chemicals, All-Carboxy-Acids, Carboxylates, Organic-Acids, D-Amino-Acids, Compounds-And-Elements, FRAMES	D-aspartate	https://metacyc.org/compound?orgid=META&id=CPD-302
CPD-7247	2	Compounds-And-Elements, Compounds, FRAMES, Chemicals	all-trans-13,14-dihydroretinol	https://metacyc.org/compound?orgid=META&id=CPD-7247
CPD-12118	2	Compounds, Menaquinols, Membrane-Electron-Carriers, Chemicals, Modified-Menaquinols, Acceptors, Reduced-Quinones, Demethylmenaquinols, Redox-Electron-Carriers, Aromatics, Compounds-And-Elements, ETR-Quinols, FRAMES	demethylmenaquinol-9	https://metacyc.org/compound?orgid=META&id=CPD-12118
ISOGLUTAMINE	2	Compounds, Amino-Acids, Acids, All-Amino-Acids, Chemicals, All-Carboxy-Acids, Carboxylates, Organic-Acids, L-Amino-Acids, Compounds-And-Elements, FRAMES	L-isoglutamine	https://metacyc.org/compound?orgid=META&id=ISOGLUTAMINE
CPD-18064	2	Compounds-And-Elements, Compounds, FRAMES, Chemicals	3,8-dideoxy-8-oxo-&alpha;-D-manno-octulosonate	https://metacyc.org/compound?orgid=META&id=CPD-18064
N2-SUCCINYLGLUTAMATE	2	Compounds-And-Elements, Compounds, FRAMES, Chemicals	N2-succinylglutamate	https://metacyc.org/compound?orgid=META&id=N2-SUCCINYLGLUTAMATE
CPD-12247	2	Modified-Peptides, Compounds, Depsipeptides, Peptides, Chemicals, Compounds-And-Elements, FRAMES	D-alanyl-D-lactate	https://metacyc.org/compound?orgid=META&id=CPD-12247
DIHYDROXYNAPHTHOATE	2	Compounds-And-Elements, Compounds, FRAMES, Chemicals	1,4-dihydroxy-2-naphthoate	https://metacyc.org/compound?orgid=META&id=DIHYDROXYNAPHTHOATE
