Compound	Cluster	Classes	Common names	MetaCyc link
BETA-D-FRUCTOSE	1	D-Ketoses, Glycans, D-Hexoses, Ketohexoses, Chemicals, Fructofuranose, FRU, Fructose, Sugar, Carbohydrates, Compounds-And-Elements, FRAMES, Ketoses, All-Carbohydrates, Monosaccharides, D-Ketohexoses, Compounds, Hexoses	&beta;-D-fructofuranose	https://metacyc.org/compound?orgid=META&id=BETA-D-FRUCTOSE
CPD-253	2	FRAMES, Compounds, Compounds-And-Elements, Chemicals	4,5-seco-dopa	https://metacyc.org/compound?orgid=META&id=CPD-253
L-DIHYDROXY-PHENYLALANINE	2	Non-standard-amino-acids, Carboxylates, All-Amino-Acids, Catechols, Alcohols, All-Carboxy-Acids, Acids, Chemicals, Organic-Acids, Compounds-And-Elements, FRAMES, Amino-Acids, Alpha-Amino-Acids, Compounds, Diols, Aromatics, Benzenediols	L-dopa	https://metacyc.org/compound?orgid=META&id=L-DIHYDROXY-PHENYLALANINE
CPD-20263	2	Quinones, Compounds-And-Elements, FRAMES, Compounds, Aldehydes-Or-Ketones, LONG-CHAIN-KETONE, Cyclic-Ketones, Chemicals	7-[(2S)-2-amino-2-carboxylatoethyl]-5-hydroxy-2H-1,4-benzothiazine-3-carboxylate	https://metacyc.org/compound?orgid=META&id=CPD-20263
DOPAQUINONE	2	Quinones, Compounds-And-Elements, FRAMES, Compounds, Aldehydes-Or-Ketones, LONG-CHAIN-KETONE, Cyclic-Ketones, Chemicals	dopaquinone	https://metacyc.org/compound?orgid=META&id=DOPAQUINONE
CPD-20262	2	Quinones, Compounds-And-Elements, FRAMES, Compounds, Aldehydes-Or-Ketones, LONG-CHAIN-KETONE, Cyclic-Ketones, Chemicals	5-S-cysteinyldopaquinone	https://metacyc.org/compound?orgid=META&id=CPD-20262
DOPAMINE	2	Benzenediols, Compounds-And-Elements, FRAMES, Compounds, Diols, Catechols, Alcohols, Aromatics, Chemicals	dopamine	https://metacyc.org/compound?orgid=META&id=DOPAMINE
CPD-8652	2	Secondary-Metabolites, FRAMES, Compounds-And-Elements, Compounds, Indole-Derivatives, Aromatics, ALKALOID, Indoles, Chemicals	leucodopachrome	https://metacyc.org/compound?orgid=META&id=CPD-8652
DIHYDROXYINDOLE	2	Indole-Derivatives, Compounds-And-Elements, FRAMES, Aromatics, Compounds, Indoles, Chemicals	5,6-dihydroxyindole	https://metacyc.org/compound?orgid=META&id=DIHYDROXYINDOLE
CPD-15154	2	Quinones, Compounds-And-Elements, FRAMES, Compounds, Aldehydes-Or-Ketones, LONG-CHAIN-KETONE, Cyclic-Ketones, Chemicals	5-S-cysteinyldopa	https://metacyc.org/compound?orgid=META&id=CPD-15154
CPD-20264	2	Quinones, Compounds-And-Elements, FRAMES, Compounds, Aldehydes-Or-Ketones, LONG-CHAIN-KETONE, Cyclic-Ketones, Chemicals	8-[(2S)-2-amino-2-carboxylatoethyl]-5-hydroxy-2H-1,4-benzothiazine-3-carboxylate	https://metacyc.org/compound?orgid=META&id=CPD-20264
L-DOPACHROME	2	Indole-Derivatives, Compounds-And-Elements, FRAMES, Aromatics, Compounds, Indoles, Chemicals	L-dopachrome	https://metacyc.org/compound?orgid=META&id=L-DOPACHROME
CPD-20260	2	Quinones, Compounds-And-Elements, FRAMES, Compounds, Aldehydes-Or-Ketones, LONG-CHAIN-KETONE, Cyclic-Ketones, Chemicals	2-S-cysteinyldopa	https://metacyc.org/compound?orgid=META&id=CPD-20260
CPD-20261	2	Quinones, Compounds-And-Elements, FRAMES, Compounds, Aldehydes-Or-Ketones, LONG-CHAIN-KETONE, Cyclic-Ketones, Chemicals	2-S-cysteinyldopaquinone	https://metacyc.org/compound?orgid=META&id=CPD-20261
NOREPINEPHRINE	2	Benzenediols, Compounds-And-Elements, FRAMES, Compounds, Diols, Catechols, Alcohols, Aromatics, Chemicals	(R)-noradrenaline	https://metacyc.org/compound?orgid=META&id=NOREPINEPHRINE
CPD-9646	2	Lipids, Compounds-And-Elements, FRAMES, Isoprenoid-Phosphates, CIS-TRANS-POLYISOPRENYL-P, Compounds, Polyisoprenyl-Monophosphates, Polyisoprenoids, Isoprenoid-Derivatives, Chemicals	di-trans,octa-cis-undecaprenyl phosphate	https://metacyc.org/compound?orgid=META&id=CPD-9646
10-FORMYL-DIHYDROFOLATE-GLU-N	2	Cofactors, Nitrogen-Molecular-Entities, Pteridines, Dihydrofolate-Derivatives, Organic-heteromonocyclic-compounds, Chemicals, Organic-heterobicyclic-compounds, DIHYDROFOLATE-GLU-N, Organic-Heteropolycyclic-Compounds, Compounds-And-Elements, FRAMES, Pterins, Pteroates, Organonitrogen-Heterocyclic-Compounds, Vitamins, Compounds, Organonitrogen-Compounds, Organic-heterocyclic-compound, All-Folates	an N10-formyl-7,8-dihydrofolate	https://metacyc.org/compound?orgid=META&id=10-FORMYL-DIHYDROFOLATE-GLU-N
CPD-14931	2	Cofactors, Nitrogen-Molecular-Entities, Pteridines, Organic-heteromonocyclic-compounds, Chemicals, Organic-heterobicyclic-compounds, Organic-Heteropolycyclic-Compounds, Compounds-And-Elements, FRAMES, Pterins, Pteroates, Organonitrogen-Heterocyclic-Compounds, Compounds, Vitamins, Organonitrogen-Compounds, Organic-heterocyclic-compound, All-Folates, THF-Derivatives	4a-hydroxy-N10-formyltetrahydrofolate	https://metacyc.org/compound?orgid=META&id=CPD-14931
AMINO-OXOBUT	3	Modified-Amino-Acids, Carboxylates, All-Amino-Acids, All-Carboxy-Acids, Acids, Chemicals, Organic-Acids, Compounds-And-Elements, FRAMES, Amino-Acids, Compounds, CPD-12642	L-2-amino-3-oxobutanoate	https://metacyc.org/compound?orgid=META&id=AMINO-OXOBUT
3-HYDROXY-L-KYNURENINE	3	Organic-Acids, Modified-Amino-Acids, Compounds-And-Elements, FRAMES, Amino-Acids, Carboxylates, Hydroxy-Amino-Acids, Compounds, All-Amino-Acids, Hydroxy-L-Amino-Acids, All-Carboxy-Acids, Acids, Chemicals	3-hydroxy-L-kynurenine	https://metacyc.org/compound?orgid=META&id=3-HYDROXY-L-KYNURENINE
AMINO-ACETONE	3	FRAMES, Compounds, Compounds-And-Elements, Chemicals	aminoacetone	https://metacyc.org/compound?orgid=META&id=AMINO-ACETONE
KYNURENATE	3	FRAMES, Compounds, Compounds-And-Elements, Chemicals	kynurenate	https://metacyc.org/compound?orgid=META&id=KYNURENATE
XANTHURENATE	3	FRAMES, Compounds, Compounds-And-Elements, Chemicals	xanthurenate	https://metacyc.org/compound?orgid=META&id=XANTHURENATE
3-HYDROXY-ANTHRANILATE	3	FRAMES, Compounds, Compounds-And-Elements, Chemicals	3-hydroxyanthranilate	https://metacyc.org/compound?orgid=META&id=3-HYDROXY-ANTHRANILATE
PROPANE-1-2-DIOL	3	Compounds-And-Elements, FRAMES, Compounds, Diols, Alcohols, DL-12-Propanediol, glycols, Chemicals	(S)-propane-1,2-diol	https://metacyc.org/compound?orgid=META&id=PROPANE-1-2-DIOL
ACETOL	3	FRAMES, Compounds, Compounds-And-Elements, Chemicals	hydroxyacetone	https://metacyc.org/compound?orgid=META&id=ACETOL
CPD-14736	3	Organic-Acids, Compounds-And-Elements, FRAMES, Amino-Acids, Carboxylates, Compounds, All-Amino-Acids, All-Carboxy-Acids, Acids, Chemicals	L-kynurenine	https://metacyc.org/compound?orgid=META&id=CPD-14736
DEOXYURIDINE	3	Compounds, FRAMES, Compounds-And-Elements, All-Nucleosides, Nucleosides, Chemicals	2'-deoxyuridine	https://metacyc.org/compound?orgid=META&id=DEOXYURIDINE
L-XYLULOSE	3	Glycans, L-Pentoses, Chemicals, Carbohydrates, Sugar, Pentoses, Compounds-And-Elements, FRAMES, Ketoses, All-Carbohydrates, Monosaccharides, Compounds, Xylulose, Ketopentoses	L-xylulose	https://metacyc.org/compound?orgid=META&id=L-XYLULOSE
OH-PYR	3	FRAMES, Compounds, Compounds-And-Elements, Chemicals	hydroxypyruvate	https://metacyc.org/compound?orgid=META&id=OH-PYR
DEOXY-D-RIBOSE-1-PHOSPHATE	3	Carbohydrates, Compounds-And-Elements, FRAMES, All-Carbohydrates, Pentose-phosphates, Sugar-Phosphate, Carbohydrate-Derivatives, PENTOSE-1-PHOSPHATES, Glycans, Compounds, Sugar-1-Phosphate, DEOXY-RIBOSE-1P, Chemicals	2-deoxy-&alpha;-D-ribose 1-phosphate	https://metacyc.org/compound?orgid=META&id=DEOXY-D-RIBOSE-1-PHOSPHATE
DEOXYCYTIDINE	3	Compounds, FRAMES, Compounds-And-Elements, All-Nucleosides, Nucleosides, Chemicals	2'-deoxycytidine	https://metacyc.org/compound?orgid=META&id=DEOXYCYTIDINE
CPD-10723	3	D-Ketoses, Glycans, D-Hexoses, Ketohexoses, Chemicals, Fructofuranose, FRU, Fructose, Sugar, Carbohydrates, Compounds-And-Elements, FRAMES, Ketoses, All-Carbohydrates, Monosaccharides, D-Ketohexoses, Compounds, Hexoses	&alpha;-D-fructofuranose	https://metacyc.org/compound?orgid=META&id=CPD-10723
XYLITOL	3	Pentitols, Carbohydrates, Sugar, Compounds-And-Elements, FRAMES, All-Carbohydrates, Glycans, Compounds, Alcohols, Sugar-alcohols, Chemicals	xylitol	https://metacyc.org/compound?orgid=META&id=XYLITOL
CPD-654	3	Organic-Acids, Compounds-And-Elements, FRAMES, 2-Oxo-carboxylates, Carboxylates, Compounds, All-Carboxy-Acids, Acids, 2-Oxo-Acids, Chemicals	2,5-dioxopentanoate	https://metacyc.org/compound?orgid=META&id=CPD-654
DEOXY-RIBOSE-5P	3	Glycans, Chemicals, Carbohydrates, Compounds-And-Elements, FRAMES, All-Carbohydrates, Pentose-phosphates, Sugar-Phosphate, Carbohydrate-Derivatives, Compounds, SUGAR-5-PHOSPHATES, PENTOSE-5-PHOSPHATES	2-deoxy-D-ribose 5-phosphate	https://metacyc.org/compound?orgid=META&id=DEOXY-RIBOSE-5P
TARTRONATE-S-ALD	3	FRAMES, Compounds, Compounds-And-Elements, Chemicals	tartronate semialdehyde	https://metacyc.org/compound?orgid=META&id=TARTRONATE-S-ALD
GLYCERATE	3	2-Hydroxy-carboxylates, D-2-hydroxyacids, Carboxylates, Glycerates, All-Carboxy-Acids, Monocarboxylates, Acids, Hydroxy-carboxylates, Chemicals, Organic-Acids, Compounds-And-Elements, FRAMES, Compounds	D-glycerate	https://metacyc.org/compound?orgid=META&id=GLYCERATE
CPD0-181	3	FRAMES, Compounds, Compounds-And-Elements, Chemicals	N5-carboxyaminoimidazole ribonucleotide	https://metacyc.org/compound?orgid=META&id=CPD0-181
CPD-1128	3	FRAMES, Compounds, Compounds-And-Elements, Chemicals	1-pyrroline-4-hydroxy-2-carboxylate	https://metacyc.org/compound?orgid=META&id=CPD-1128
