	M_DEAMIDO__45__NAD_c	M_NITRATE_c	M_SULFATE_c	M_FE__43__3_c	M_ADENOSYLCOBALAMIN_c	M_NICOTINAMIDE_RIBOSE_c	M_CAMP_c	M_CU__43___e	M_Oxidized__45__ferredoxins_c	M_CPD0__45__2474_c	M_BR__45___c	M_DADP_c	M_CPD0__45__2472_c	M_CO__43__2_c	M_FORMATE_c	M_BORATE_c	M_HCO3_c	M_CPD__45__8259_c	M_CU__43___c	M_ATP_c	M_ADP_c	M_NICOTINAMIDE_NUCLEOTIDE_c	M_CPD__45__16459_c	M_MN__43__2_c	M_Reduced__45__ferredoxins_c	M_ADENOSINE_c	M_GLUTATHIONE_c	M_CO__45__A_c	M_CPD__45__8886_c	M_PROTON_c	M_AMMONIUM_c	M_CARBON__45__DIOXIDE_c	M_K__43___c	M_OXYGEN__45__MOLECULE_c	M_NAD_c	M_PPI_c	M_BA__43__2_c	M_Cytochromes__45__C__45__Oxidized_c	M_Donor__45__H2_c	M_PROTON_e	M_FE__43__2_c	M_THF__45__GLU__45__N_c	M_NADP_c	M_CL__45___c	M_H2CO3_c	M_GLT__45__tRNAs_c	M_CO3_c	M_D__45__RIBULOSE__45__15__45__P2_c	M_Red__45__Thioredoxin_c	M_ZN__43__2_c	M_NADH_c	M_CA__43__2_c	M_NMNH_c	M_NADPH_c	M_F__45___c	M_Ubiquinols_c	M_CPD__45__19584_c	M_NA__43___c	M_SUPER__45__OXIDE_c	M_MO__43__2_c	M_Reduced__45__flavodoxins_c	M_ACP_c	M_CPD__45__18085_c	M_Acceptor_c	M_CPD__45__10778_c	M_CPD__45__1484_c	M_V__43__5_c	M_Ox__45__Thioredoxin_c	M_CPD__45__3_c	M_CPD__45__14133_c	M_OXIDIZED__45__GLUTATHIONE_c	M_RB__43___c	M_Cytochromes__45__C__45__Reduced_c	M_WATER_c	M_OH_c	M_NICOTINATE_NUCLEOTIDE_c	M_AMP_c	M_Pi_c	M_LI__43___c	M_CPD__45__12377_c	M_Oxidized__45__flavodoxins_c	M_CU__43__2_c	M_HYDROGEN__45__PEROXIDE_c	M_AMMONIA_c	M_Ubiquinones_c	M_Light_c	M_CPD__45__653_c	M_MG__43__2_c	M_L__45__LACTATE_c	M_CPD__45__24844_c	M_GLC__45__6__45__P_c	M_2__45__DEHYDRO__45__3__45__DEOXY__45__D__45__GALACTONATE_c	M_L__45__ALPHA__45__ALANINE_c	M_CPD__45__11763_c	M_ADENINE_c	M_CPD__45__25381_c	M_4__45__OH__45__4__45__ACETYL__45__2__45__OXOGLUTARATE_c	M_CPD__45__24926_c	M_DEHYDROQUINATE_c	M_DEOXYXYLULOSE__45__5P_c	M_CU__43__2_e	M_4__45__OXALOMESACONATE_c	M_D__45__XYLULOSE_c	M_CPD__45__255_c	M_D__45__SEDOHEPTULOSE__45__1__45__7__45__P2_c	M_DPG_c	M_SO3_c	M_S__45__LACTOYL__45__GLUTATHIONE_c	M_XANTHOSINE_c	M_SHIKIMATE_c	M_CPD__45__7046_c	M_ARABINOSE__45__5P_c	M_DIHYDROXY__45__ACETONE__45__PHOSPHATE_c	M_5__45__10__45__METHENYL__45__THF__45__GLU__45__N_c	M_CPD__45__11281_c	M_NITRITE_c	M_METHYLENE__45__THF__45__GLU__45__N_c	M_PHOSPHO__45__ENOL__45__PYRUVATE_c	M_PYRUVATE_c	M_CPD__45__9016_c	M_RIBOSE__45__5P_c	M_D__45__GALACTONATE_c	M_DIHYDROXY__45__BUTANONE__45__P_c	M_2__45__PG_c	M_CPD__45__11855_c	M_CHORISMATE_c	M_D__45__SEDOHEPTULOSE__45__7__45__P_c	M_S2O3_c	M_2__45__ACETO__45__LACTATE_c	M_XYLULOSE__45__5__45__PHOSPHATE_c	M_HSO3_c	M_2__45__DEHYDROPANTOATE_c	M_3__45__P__45__HYDROXYPYRUVATE_c	M_D__45__LACTATE_c	M_FRUCTOSE__45__6P_c	M_CPD__45__10353_c	M_RIBULOSE__45__5P_c	M_XANTHINE_c	M_CPD__45__12610_c	M_DIACETYL_c	M_CPD__45__346_c	M_2__45__C__45__METHYL__45__D__45__ERYTHRITOL__45__4__45__PHOSPHATE_c	M_CPD0__45__2461_c	M_G3P_c	M_DAMP_c	M_2__45__KETO__45__ISOVALERATE_c	M_3__45__ENOLPYRUVYL__45__SHIKIMATE__45__5P_c	M_CPD__45__15818_c	M_3__45__DEOXY__45__D__45__ARABINO__45__HEPTULOSONATE__45__7__45__P_c	M_CPD0__45__1108_c	M_MANNOSE__45__1P_c	M_CPD__45__12849_c	M_INOSINE_c	M_SHIKIMATE__45__5P_c	M_ALPHA__45__GLC__45__6__45__P_c	M_CPD__45__10330_c	M_HYPOXANTHINE_c	M_FRUCTOSE__45__16__45__DIPHOSPHATE_c	M_OXALACETIC_ACID_c	M_DEHYDRO__45__DEOXY__45__GALACTONATE__45__PHOSPHATE_c	M_CPD__45__13851_c	M_DATP_c	M_CPD__45__15317_c	M_CPD__45__15709_c	M_FORMYL__45__THF__45__GLU__45__N_c	M_URATE_c	M_CA__43__2_e	M_3__45__DEHYDRO__45__SHIKIMATE_c	M_UREA_c	M_GAP_c	M_L__45__RIBULOSE__45__5__45__P_c	M_CPD__45__187_c	M_L__45__RIBULOSE_c	M_ERYTHROSE__45__4P_c	M_L__45__PANTOATE_c	M_CPD__45__846_c	M_CPD__45__13357_c	M_NITRIC__45__OXIDE_c	M_RIBOSE__45__1P_c	M_D__45__Ribofuranose_c	M_HS_c	M_APS_c	M_CPD__45__24843_c	M_D__45__Ribopyranose_c	M_CPD__45__15979_c	M_BETA__45__D__45__FRUCTOSE_c	M_METHYL__45__GLYOXAL_c	M_CPD__45__227_c
Candidatus_Phaeomarinobacter_ectocarpi	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Antarctobacter_heliothermus	0	1	1	1	1	0	0	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
